,Unnamed: 0,Price,Location,Postal Code,Area,Bedrooms,Bathrooms,Receptions,City-County,House-Type
0,0,1675000,Wimbledon,SW19 8NY,2716,5,5,5,London,House
1,1,650000,Clerkenwell,EC1V 3PA,814,2,2,2,London,Flat / Apartment
2,2,735000,Putney,SW15 1QL,761,2,2,2,London,Flat / Apartment
3,3,1765000,Putney,SW15 1LP,1986,4,4,4,London,House
4,4,675000,Putney,SW15 1PL,700,2,2,2,London,Flat / Apartment
5,5,420000,,W2 3EA,403,1,1,1,London,Flat / Apartment
6,6,1475000,,SW11 6NW,1548,4,4,4,London,House
7,7,650000, Fulham,SW6 3LF,560,1,1,1,London,New development
8,8,2500000,,W8 6UG,1308,3,3,3,London,House
9,9,925000,,W8 4NT,646,2,2,2,London,Flat / Apartment
10,10,2400000,,SW17 8RR,3392,6,6,6,London,House
11,11,2500000,Highgate,N6 5HQ,2974,6,6,6,London,House
12,12,2795000,Walton-on-Thames,KT12 1ER,5294,5,5,5,Surrey,House
13,13,725000, St. John's Wood,NW8 9HP,778,2,2,2,London,Flat / Apartment
14,14,750000,17 Abercorn Place,NW8 9DY,647,2,2,2,London,Flat / Apartment
15,15,12500000,Regents Park,NW1 4ND,4596,6,6,6,London,House
16,16,1450000,,TW1 2PF,1702,3,3,3,Twickenham,Flat / Apartment
17,17,1250000, Coulsdon,CR5 3QW,3503,6,6,6,Surrey,House
18,18,2275000,Primrose Hill,NW3 3DS,1173,3,3,3,London,New development
19,19,1075000,,W11 4SR,865,2,2,2,Holland Park,Duplex
20,20,500000,,SW9 9BT,597,1,1,1,London,Flat / Apartment
21,21,5500000,Marylebone,W1G 7BA,3016,4,4,4,London,House
22,22,8950000,10 Draycott Avenue,SW3 3AA,3154,4,4,4,London,New development
23,23,1175000,,W8 7AX,765,2,2,2,London,Flat / Apartment
24,24,550000,Islington,N1 1PT,479,1,1,1,London,Flat / Apartment
25,25,1300000, Islington,N1 2NT,1101,3,3,3,London,House
26,26,800000,South Hampstead,NW6 3HR,1177,3,3,3,London,Flat / Apartment
27,27,3500000,Belsize Park,NW3 2UP,2331,4,4,4,London,House
28,28,374950,Esher,KT10 9FN,664,2,2,2,Surrey,New development
29,29,400000, Surbiton,KT6 6NW,805,2,2,2,Surrey,Flat / Apartment
30,30,1100000,20-21 Wetherby Gardens,SW5 0JP,582,2,2,2,London,Flat / Apartment
31,31,1200000,,SW12 8LJ,1494,4,4,4,London,House
32,32,1250000,,SW2 4XF,1507,4,4,4,London,House
33,33,695000,,SW2 4XQ,945,3,3,3,London,Flat / Apartment
34,34,1735000,Chiswick,W4 3BS,2118,4,4,4,London,House
35,35,2350000,Chiswick,W4 4NR,2297,5,5,5,London,House
36,36,1200000,Chiswick,W4 2BA,1351,4,4,4,London,House
37,37,975000,,SW10 0JB,749,2,2,2,London,Flat / Apartment
38,38,850000,Barnes,SW13 0NL,1177,3,3,3,London,House
39,39,1599950,Fulham,SW6 5RF,1884,4,4,4,London,House
40,40,925000,,SW11 2PZ,1321,2,2,2,London,Flat / Apartment
